,DRS,   ,GVE,Município,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,Total
2,Araçatuba,XI,ARAÇATUBA,350280 Araçatuba,2,6,13,22,44,70,77,114,142,159,235,147,67,46,38,42,133,1357
16,Sorocaba,XXXI,SOROCABA,350290 Araçoiaba da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Franca,XVIII,FRANCA,350300 Aramina,19,22,16,18,17,9,8,7,3,1,2,0,0,1,2,0,0,125
6,Bauru,XVI,BOTUCATU,350310 Arandu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17,Taubaté,XXXIII,TAUBATÉ,350315 Arapeí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,350320 Araraquara,220,279,494,644,1004,1425,1253,1403,854,370,404,612,388,256,205,68,88,9967
10,Piracicaba,XX,PIRACICABA,350330 Araras,0,0,1,3,1,3,1,2,2,8,3,10,28,34,32,26,14,168
9,Marília,XIX,MARÍLIA,350335 Arco-Íris,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3
6,Bauru,XV,BAURU,350340 Arealva,0,0,0,0,0,1,1,0,1,4,5,6,7,0,0,8,11,44
17,Taubaté,XXXIII,TAUBATÉ,350350 Areias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,350360 Areiópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,350370 Ariranha,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
7,Campinas,XVII,CAMPINAS,350380 Artur Nogueira,0,0,0,0,0,1,3,1,1,0,1,5,0,1,0,0,3,16
1,São Paulo,VIII,MOGI DAS CRUZES,350390 Arujá,0,0,0,2,1,2,0,0,0,4,2,3,7,5,3,8,14,51
15,São José do Rio Preto,XXX,JALES,350395 Aspásia,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,5
9,Marília,XIII,ASSIS,350400 Assis,1,1,1,5,2,13,11,14,29,22,42,58,48,71,92,76,28,514
7,Campinas,XVII,CAMPINAS,350410 Atibaia,2,1,1,0,2,2,3,6,3,2,8,11,25,12,3,4,3,88
