,DRS,   ,GVE,Município,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,Total
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351750 Guapiaçu,1,0,0,3,4,8,25,32,14,25,16,28,24,17,11,2,0,210
16,Sorocaba,XXXII,ITAPEVA,351760 Guapiara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,Franca,XVIII,FRANCA,351770 Guará,4,18,20,29,13,12,15,30,49,36,36,26,8,6,8,2,2,314
2,Araçatuba,XI,ARAÇATUBA,351780 Guaraçaí,32,26,21,35,45,41,27,43,15,13,22,7,5,4,5,4,3,348
5,Barretos,XIV,BARRETOS,351790 Guaraci,10,1,6,15,20,25,20,14,7,5,8,0,1,0,2,0,1,135
15,São José do Rio Preto,XXX,JALES,351800 Guarani d'Oeste,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,5
9,Marília,XIX,MARÍLIA,351810 Guarantã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,Araçatuba,XI,ARAÇATUBA,351820 Guararapes,4,11,7,19,20,19,18,16,45,27,47,44,75,94,113,92,81,732
1,São Paulo,VIII,MOGI DAS CRUZES,351830 Guararema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17,Taubaté,XXXIII,TAUBATÉ,351840 Guaratinguetá,0,0,0,0,0,0,0,0,1,0,1,3,0,1,3,5,5,19
16,Sorocaba,XXXI,SOROCABA,351850 Guareí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,351860 Guariba,0,0,0,0,1,3,3,1,4,2,3,2,2,0,2,1,1,25
4,Baixada Santista,XXV,SANTOS,351870 Guarujá,0,0,0,1,5,2,4,5,7,0,7,7,3,4,1,1,4,51
1,São Paulo,VIII,MOGI DAS CRUZES,351880 Guarulhos,0,1,4,8,9,18,23,26,30,48,85,97,131,179,274,299,245,1477
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,351885 Guatapará,1,0,0,0,4,3,4,2,6,8,3,1,1,1,5,4,3,46
2,Araçatuba,XI,ARAÇATUBA,351890 Guzolândia,0,0,0,0,1,1,5,2,3,3,4,7,10,4,4,4,0,48
9,Marília,XIX,MARÍLIA,351900 Herculândia,0,0,0,1,1,0,3,2,2,12,17,17,11,20,17,13,4,120
7,Campinas,XVII,CAMPINAS,351905 Holambra,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,5
7,Campinas,XVII,CAMPINAS,351907 Hortolândia,1,1,2,3,6,7,6,10,5,8,27,34,30,13,7,8,10,178
6,Bauru,XV,BAURU,351910 Iacanga,0,0,0,0,0,7,11,18,11,10,12,5,4,0,2,8,9,97
9,Marília,XIX,MARÍLIA,351920 Iacri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,351925 Iaras,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,Araraquara,XII,ARARAQUARA,351930 Ibaté,0,1,0,1,2,9,6,14,6,7,13,12,17,21,26,34,8,177
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351940 Ibirá,0,4,2,9,17,21,25,11,2,0,1,4,2,1,2,0,0,101
9,Marília,XIII,ASSIS,351950 Ibirarema,0,0,0,0,1,0,4,0,3,6,12,7,5,18,4,10,13,83
3,Araraquara,XII,ARARAQUARA,351960 Ibitinga,0,0,1,1,3,4,0,6,5,2,8,10,6,5,9,5,7,72
16,Sorocaba,XXXI,SOROCABA,351970 Ibiúna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351980 Icém,2,0,8,8,13,11,6,4,2,1,0,0,3,7,1,2,0,68
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,351990 Iepê,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,8
6,Bauru,XV,BAURU,352000 Igaraçu do Tietê,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,8
8,Franca,XVIII,FRANCA,352010 Igarapava,41,50,46,25,29,22,106,46,4,4,2,0,0,0,0,0,1,376
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,352020 Igaratá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Registro,XXIII,REGISTRO,352030 Iguape,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
17,Taubaté,XXVIII,CARAGUATATUBA,352040 Ilhabela,1,0,0,1,1,2,3,4,3,3,4,5,0,3,4,7,1,42
12,Registro,XXIII,REGISTRO,352042 Ilha Comprida,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2,Araçatuba,XI,ARAÇATUBA,352044 Ilha Solteira,54,75,72,86,58,53,35,6,4,5,5,2,4,0,1,2,2,464
7,Campinas,XVII,CAMPINAS,352050 Indaiatuba,0,0,0,0,1,0,1,0,1,1,5,6,3,11,3,2,0,34
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,352060 Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXX,JALES,352070 Indiaporã,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,4
9,Marília,XIX,MARÍLIA,352080 Inúbia Paulista,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,7
9,Marília,XIII,ASSIS,352090 Ipauçu,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,5
16,Sorocaba,XXXI,SOROCABA,352100 Iperó,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,7
10,Piracicaba,XX,PIRACICABA,352110 Ipeúna,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352115 Ipiguá,17,10,15,16,33,22,22,13,8,5,7,8,7,5,1,1,0,190
12,Registro,XXIII,REGISTRO,352120 Iporanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Franca,XVIII,FRANCA,352130 Ipuã,37,33,28,55,115,152,151,37,38,71,41,33,35,17,7,1,1,852
10,Piracicaba,XX,PIRACICABA,352140 Iracemápolis,0,0,0,0,0,1,0,0,1,2,3,7,8,7,15,8,5,57
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352150 Irapuã,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,5
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,352160 Irapuru,0,0,0,1,0,0,0,0,1,2,8,3,0,0,0,2,0,17
16,Sorocaba,XXXII,ITAPEVA,352170 Itaberá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,352180 Itaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352190 Itajobi,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,1,0,7
6,Bauru,XV,BAURU,352200 Itaju,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
4,Baixada Santista,XXV,SANTOS,352210 Itanhaém,0,0,0,1,1,0,0,0,2,7,5,11,11,17,15,4,5,79
16,Sorocaba,XXXII,ITAPEVA,352215 Itaóca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,X,OSASCO,352220 Itapecerica da Serra,0,0,1,1,0,0,0,1,0,0,0,1,2,0,1,1,0,8
16,Sorocaba,XXXI,SOROCABA,352230 Itapetininga,1,0,0,0,0,0,0,0,1,1,0,0,4,1,2,6,7,23
16,Sorocaba,XXXII,ITAPEVA,352240 Itapeva,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,São Paulo,X,OSASCO,352250 Itapevi,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,0,8
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,352260 Itapira,0,2,0,0,0,0,7,2,2,6,4,1,4,4,1,12,3,48
16,Sorocaba,XXXII,ITAPEVA,352265 Itapirapuã Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,352270 Itápolis,1,2,0,5,4,1,0,1,3,5,8,11,19,23,31,63,64,241
6,Bauru,XVI,BOTUCATU,352280 Itaporanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XV,BAURU,352290 Itapuí,0,0,0,0,0,1,3,8,10,20,12,24,20,0,34,36,2,170
2,Araçatuba,XI,ARAÇATUBA,352300 Itapura,2,2,13,7,21,22,22,16,7,7,14,7,5,0,1,0,0,146
1,São Paulo,VIII,MOGI DAS CRUZES,352310 Itaquaquecetuba,0,0,1,1,1,0,1,0,0,0,2,4,2,3,4,3,7,29
16,Sorocaba,XXXII,ITAPEVA,352320 Itararé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Registro,XXIII,REGISTRO,352330 Itariri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,352340 Itatiba,0,1,0,0,0,0,1,2,2,0,4,6,7,3,2,12,3,43
6,Bauru,XVI,BOTUCATU,352350 Itatinga,0,0,0,0,0,0,0,0,5,7,5,10,13,5,1,7,1,54
10,Piracicaba,XX,PIRACICABA,352360 Itirapina,0,0,0,0,0,0,1,0,1,0,3,1,3,4,2,8,5,28
8,Franca,XVIII,FRANCA,352370 Itirapuã,2,8,10,13,6,1,2,0,0,0,0,0,0,0,0,1,1,44
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,352380 Itobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,352390 Itu,0,0,0,0,1,3,1,1,1,0,2,7,6,5,1,3,3,34
7,Campinas,XVII,CAMPINAS,352400 Itupeva,0,0,0,0,1,3,3,2,1,0,1,7,1,1,0,0,0,20
8,Franca,XVIII,FRANCA,352410 Ituverava,19,40,75,138,177,188,208,143,78,57,62,52,30,11,23,16,13,1330
5,Barretos,XIV,BARRETOS,352420 Jaborandi,0,0,0,0,1,2,1,1,2,4,5,4,12,5,20,19,4,80
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,352430 Jaboticabal,1,1,3,2,3,2,8,7,1,3,7,11,9,14,12,4,4,92
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,352440 Jacareí,0,0,0,0,0,3,2,6,3,2,4,4,2,1,0,0,0,27
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352450 Jaci,11,12,8,15,22,24,10,5,3,5,2,3,2,1,2,3,1,129
12,Registro,XXIII,REGISTRO,352460 Jacupiranga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,352470 Jaguariúna,0,0,1,0,0,0,2,1,2,4,5,3,0,0,0,0,0,18
15,São José do Rio Preto,XXX,JALES,352480 Jales,2,5,9,4,17,31,25,27,27,43,55,102,128,156,193,125,159,1108
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,352490 Jambeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,X,OSASCO,352500 Jandira,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,1,3,10
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,352510 Jardinópolis,0,0,0,1,1,2,7,2,7,4,3,10,3,8,6,4,6,64
7,Campinas,XVII,CAMPINAS,352520 Jarinu,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,8
6,Bauru,XV,BAURU,352530 Jaú,0,1,3,3,14,36,64,79,40,65,100,131,122,51,72,43,9,833
8,Franca,XVIII,FRANCA,352540 Jeriquara,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
7,Campinas,XVII,CAMPINAS,352550 Joanópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,352560 João Ramalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352570 José Bonifácio,1,5,17,14,41,52,69,66,40,26,29,53,57,40,29,35,43,617
9,Marília,XIX,MARÍLIA,352580 Júlio Mesquita,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,8
16,Sorocaba,XXXI,SOROCABA,352585 Jumirim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,352590 Jundiaí,3,5,9,5,5,13,31,51,43,50,68,127,163,170,223,163,95,1224
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,352600 Junqueirópolis,0,0,0,0,1,2,0,2,3,1,2,0,2,3,1,1,1,19
12,Registro,XXIII,REGISTRO,352610 Juquiá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,X,OSASCO,352620 Juquitiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Taubaté,XXXIII,TAUBATÉ,352630 Lagoinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,352640 Laranjal Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Araçatuba,XI,ARAÇATUBA,352650 Lavínia,1,3,1,6,2,5,8,4,1,5,10,5,9,6,1,0,0,67
17,Taubaté,XXXIII,TAUBATÉ,352660 Lavrinhas,0,0,0,0,2,0,1,1,1,5,8,0,0,0,0,0,0,18
10,Piracicaba,XX,PIRACICABA,352670 Leme,0,0,3,2,10,18,39,49,36,38,34,50,28,71,13,0,1,392
6,Bauru,XV,BAURU,352680 Lençóis Paulista,0,0,0,0,0,2,2,5,11,23,17,28,16,18,18,11,11,162
10,Piracicaba,XX,PIRACICABA,352690 Limeira,1,0,4,1,3,15,10,18,13,15,25,32,29,60,45,42,21,334
7,Campinas,XVII,CAMPINAS,352700 Lindóia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XV,BAURU,352710 Lins,3,2,2,0,11,12,16,27,15,26,33,30,63,24,4,11,2,281
17,Taubaté,XXXIII,TAUBATÉ,352720 Lorena,0,0,0,0,0,0,0,2,4,7,10,5,14,9,10,11,12,84
2,Araçatuba,XI,ARAÇATUBA,352725 Lourdes,0,0,0,0,0,0,0,0,0,2,3,5,3,2,2,2,1,20
7,Campinas,XVII,CAMPINAS,352730 Louveira,0,1,0,2,0,2,2,0,0,2,1,4,2,4,5,4,4,33
9,Marília,XIX,MARÍLIA,352740 Lucélia,0,0,0,0,1,1,0,1,1,3,1,2,1,5,3,9,28,56
6,Bauru,XV,BAURU,352750 Lucianópolis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,352760 Luís Antônio,0,0,2,0,1,0,0,1,2,0,0,0,3,0,1,0,1,11
2,Araçatuba,XI,ARAÇATUBA,352770 Luiziânia,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,2,2,15
9,Marília,XIX,MARÍLIA,352780 Lupércio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIII,ASSIS,352790 Lutécia,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
6,Bauru,XV,BAURU,352800 Macatuba,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,4,10
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352810 Macaubal,21,12,34,57,51,12,35,27,25,9,8,4,4,6,8,8,1,322
15,São José do Rio Preto,XXX,JALES,352820 Macedônia,0,0,0,0,0,0,1,0,2,1,6,3,1,0,0,0,0,14
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352830 Magda,0,0,0,0,0,0,0,1,1,2,1,0,2,3,2,1,9,22
16,Sorocaba,XXXI,SOROCABA,352840 Mairinque,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,4
1,São Paulo,IX,FRANCO DA ROCHA,352850 Mairiporã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,352860 Manduri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,352870 Marabá Paulista,0,0,0,0,0,0,1,2,2,0,2,7,1,0,0,0,1,16
9,Marília,XIII,ASSIS,352880 Maracaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352885 Marapoama,0,0,0,0,0,1,3,2,1,0,3,0,0,2,3,2,5,22
9,Marília,XIX,MARÍLIA,352890 Mariápolis,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,5
9,Marília,XIX,MARÍLIA,352900 Marília,0,0,4,10,6,19,23,20,24,22,46,73,74,38,26,24,21,430
15,São José do Rio Preto,XXX,JALES,352910 Marinópolis,0,0,0,0,0,0,0,0,0,2,5,6,2,0,2,2,3,22
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,352920 Martinópolis,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3
3,Araraquara,XII,ARARAQUARA,352930 Matão,5,1,11,8,17,27,57,55,45,69,42,43,95,93,52,22,15,657
1,São Paulo,VII,SANTO ANDRÉ,352940 Mauá,0,0,0,0,0,0,2,4,4,1,4,13,11,29,26,19,8,121
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,352950 Mendonça,1,2,2,0,4,5,11,13,22,22,15,19,21,22,19,2,0,180
15,São José do Rio Preto,XXX,JALES,352960 Meridiano,0,3,0,1,0,2,0,0,5,3,2,0,1,3,1,5,5,31
15,São José do Rio Preto,XXX,JALES,352965 Mesópolis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,Franca,XVIII,FRANCA,352970 Miguelópolis,0,0,0,3,2,2,2,0,0,1,2,0,0,0,0,0,1,13
6,Bauru,XV,BAURU,352980 Mineiros do Tietê,0,0,0,0,0,0,0,4,1,6,2,11,5,0,1,4,2,36
12,Registro,XXIII,REGISTRO,352990 Miracatu,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3
15,São José do Rio Preto,XXX,JALES,353000 Mira Estrela,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
2,Araçatuba,XI,ARAÇATUBA,353010 Mirandópolis,6,8,16,28,23,39,46,81,80,98,158,148,202,178,121,83,49,1364
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,353020 Mirante do Paranapanema,0,0,0,0,6,3,5,12,4,8,8,2,0,3,5,3,0,59
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353030 Mirassol,10,7,15,39,31,37,34,38,39,42,28,15,11,16,9,6,2,379
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353040 Mirassolândia,1,3,1,12,18,9,5,31,31,21,16,8,6,3,2,1,0,168
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,353050 Mococa,0,1,1,0,0,0,0,3,6,1,3,3,5,6,3,12,4,48
1,São Paulo,VIII,MOGI DAS CRUZES,353060 Moji das Cruzes,0,0,0,0,1,0,1,0,1,1,1,0,4,1,4,2,4,20
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,353070 Moji-Guaçu,3,3,8,13,17,47,45,55,65,73,97,99,89,49,40,2,5,710
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,353080 Moji-Mirim,0,1,0,2,2,5,1,11,31,18,40,53,48,89,76,73,63,513
10,Piracicaba,XX,PIRACICABA,353090 Mombuca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353100 Monções,4,2,4,6,0,4,3,3,0,0,3,6,2,2,7,7,8,61
4,Baixada Santista,XXV,SANTOS,353110 Mongaguá,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,5
7,Campinas,XVII,CAMPINAS,353120 Monte Alegre do Sul,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,353130 Monte Alto,2,0,3,6,5,5,7,18,11,10,8,9,1,14,1,1,1,102
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353140 Monte Aprazível,1,2,3,12,17,15,33,41,17,31,35,50,58,54,62,81,61,573
5,Barretos,XIV,BARRETOS,353150 Monte Azul Paulista,0,1,2,0,0,2,10,7,6,16,15,21,27,18,38,34,24,221
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,353160 Monte Castelo,0,0,1,1,1,1,1,0,0,0,1,0,0,0,2,1,0,9
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,353170 Monteiro Lobato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,353180 Monte Mor,0,0,0,0,1,2,0,3,6,1,6,7,14,23,14,15,11,103
8,Franca,XVIII,FRANCA,353190 Morro Agudo,2,0,2,1,3,2,2,29,57,37,92,143,72,2,2,1,0,447
7,Campinas,XVII,CAMPINAS,353200 Morungaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,353205 Motuca,0,0,0,0,1,2,0,2,1,4,0,1,2,3,2,4,4,26
2,Araçatuba,XI,ARAÇATUBA,353210 Murutinga do Sul,2,3,4,4,5,5,6,7,6,10,8,4,3,5,9,4,1,86
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,353215 Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,353220 Narandiba,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,2,7
17,Taubaté,XXXIII,TAUBATÉ,353230 Natividade da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,353240 Nazaré Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353250 Neves Paulista,3,2,9,9,20,25,35,19,20,41,42,62,39,41,34,37,19,457
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353260 Nhandeara,1,1,1,2,4,0,3,4,1,7,6,16,8,5,1,2,0,62
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353270 Nipoã,0,0,0,0,1,1,5,4,0,1,1,3,1,1,0,1,2,21
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353280 Nova Aliança,0,6,21,29,27,29,32,31,28,19,28,38,41,25,18,17,10,399
16,Sorocaba,XXXII,ITAPEVA,353282 Nova Campina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXX,JALES,353284 Nova Canaã Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Araçatuba,XI,ARAÇATUBA,353286 Nova Castilho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,353290 Nova Europa,1,0,0,1,0,2,6,14,5,17,21,11,4,5,1,3,2,93
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353300 Nova Granada,0,0,0,1,0,0,3,9,2,4,11,17,21,20,19,24,10,141
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,353310 Nova Guataporanga,0,0,0,0,0,0,0,1,0,2,2,0,0,1,1,0,0,7
2,Araçatuba,XI,ARAÇATUBA,353320 Nova Independência,7,7,5,23,8,6,3,3,3,2,3,1,4,1,12,5,7,100
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353325 Novais,0,0,2,0,0,0,0,0,1,0,0,0,3,1,1,1,0,9
2,Araçatuba,XI,ARAÇATUBA,353330 Nova Luzitânia,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
7,Campinas,XVII,CAMPINAS,353340 Nova Odessa,0,0,0,0,3,1,2,7,4,6,10,17,36,18,15,0,4,123
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353350 Novo Horizonte,1,6,6,1,11,4,13,13,7,8,14,20,39,49,69,75,59,395
8,Franca,XVIII,FRANCA,353360 Nuporanga,1,3,1,6,12,20,37,24,12,12,12,10,6,1,2,3,0,162
9,Marília,XIX,MARÍLIA,353370 Ocauçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIII,ASSIS,353380 Óleo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barretos,XIV,BARRETOS,353390 Olímpia,1,2,6,6,9,29,39,41,34,62,93,143,150,80,260,343,289,1587
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353400 Onda Verde,0,0,0,2,0,0,3,3,3,4,15,4,12,9,25,9,6,95
9,Marília,XIX,MARÍLIA,353410 Oriente,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353420 Orindiúva,0,0,1,2,2,9,11,18,27,27,21,18,35,42,39,49,33,334
8,Franca,XVIII,FRANCA,353430 Orlândia,0,2,29,49,72,70,44,24,15,10,5,19,36,79,64,48,38,604
1,São Paulo,X,OSASCO,353440 Osasco,0,0,1,3,4,2,5,4,4,7,5,6,9,12,11,4,8,85
9,Marília,XIX,MARÍLIA,353450 Oscar Bressane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIX,MARÍLIA,353460 Osvaldo Cruz,0,0,2,0,0,0,1,3,2,2,8,13,15,5,24,32,18,125
9,Marília,XIII,ASSIS,353470 Ourinhos,0,0,0,1,1,2,3,6,3,0,1,8,7,6,4,7,14,63
15,São José do Rio Preto,XXX,JALES,353475 Ouroeste,0,0,0,0,1,0,0,0,3,4,5,7,5,4,3,2,3,37
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,353480 Ouro Verde,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,2,3,11
9,Marília,XIX,MARÍLIA,353490 Pacaembu,0,0,0,1,3,3,9,7,17,11,6,14,16,16,12,13,3,131
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353500 Palestina,56,52,132,141,137,63,42,34,21,12,16,7,15,15,19,5,21,788
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353510 Palmares Paulista,0,0,0,1,1,0,0,4,3,1,0,1,5,1,1,0,1,19
15,São José do Rio Preto,XXX,JALES,353520 Palmeira d'Oeste,2,2,1,2,0,5,3,0,6,1,1,8,4,1,7,8,3,54
9,Marília,XIII,ASSIS,353530 Palmital,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,4,1,12
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,353540 Panorama,4,9,12,10,22,31,35,20,6,10,10,14,20,21,21,26,17,288
