SOURCE,TARGET,WEIGHT
56239,1835,2.5833333333333334E-4
75636,1847,2.5833333333333334E-4
52459,1852,2.5833333333333334E-4
7844,1865,2.5833333333333334E-4
28017,1870,2.5833333333333334E-4
91535,1877,2.5833333333333334E-4
6443,1883,2.5833333333333334E-4
92450,1912,2.5833333333333334E-4
18335,1927,2.5833333333333334E-4
30447,1946,2.5833333333333334E-4
5455,1956,0.0055
74043,1963,2.5833333333333334E-4
80236,1965,2.5833333333333334E-4
45365,1994,2.5833333333333334E-4
63726,2050,2.5833333333333334E-4
54132,2066,2.5833333333333334E-4
8454,2098,2.5833333333333334E-4
42986,2128,2.5833333333333334E-4
58940,2138,2.5833333333333334E-4
24445,2152,2.5833333333333334E-4
43876,2169,2.5833333333333334E-4
88386,2175,0.0055
23790,2183,2.5833333333333334E-4
72981,2185,2.5833333333333334E-4
45365,2190,2.5833333333333334E-4
14834,2223,2.5833333333333334E-4
47528,2249,0.0055
74043,2271,2.5833333333333334E-4
8935,2286,0.040356083086053415
90657,2330,0.0055
7817,2334,0.055944055944055944
22814,2347,2.5833333333333334E-4
73964,2358,2.5833333333333334E-4
47806,2377,0.0055
35112,2393,2.5833333333333334E-4
9247,2404,2.5833333333333334E-4
23874,2413,2.5833333333333334E-4
54350,2420,2.5833333333333334E-4
62706,2436,0.0055
32015,2461,2.5833333333333334E-4
26295,2478,2.5833333333333334E-4
30447,2484,2.5833333333333334E-4
43532,2486,2.5833333333333334E-4
88265,2493,0.021505376344086023
28962,2527,2.5833333333333334E-4
63726,2549,2.5833333333333334E-4
14055,2552,2.5833333333333334E-4
75654,2610,0.040356083086053415
97140,2611,2.5833333333333334E-4
40227,2615,2.5833333333333334E-4
83935,2635,2.5833333333333334E-4
27604,2638,0.040356083086053415
47528,2654,0.021505376344086023
77420,2672,0.0055
47133,2707,0.021505376344086023
53780,2712,0.023809523809523808
61742,2722,2.5833333333333334E-4
19732,2740,0.02689075630252101
95126,2745,2.5833333333333334E-4
76550,2810,2.5833333333333334E-4
52459,2814,2.5833333333333334E-4
56239,2837,2.5833333333333334E-4
